CODIGO_REGION|NOMBRE_REGION
04013000161|CIRCUITO 161
23012000161|CIRCUITO 161
01015000161|CIRCUITO 161
23012000162|CIRCUITO 162
01015000162|CIRCUITO 162
02017000162|CIRCUITO 162
04013000162|CIRCUITO 162
04013000163|CIRCUITO 163
01015000163|CIRCUITO 163
23012000163|CIRCUITO 163
02019000164|CIRCUITO 164
04013000164|CIRCUITO 164
01015000164|CIRCUITO 164
23012000164|CIRCUITO 164
0201900164A|CIRCUITO 164A
01015000165|CIRCUITO 165
02019000165|CIRCUITO 165
04013000165|CIRCUITO 165
23012000165|CIRCUITO 165
0201900165A|CIRCUITO 165A
0201900165B|CIRCUITO 165B
02019000166|CIRCUITO 166
01015000166|CIRCUITO 166
23012000166|CIRCUITO 166
04013000166|CIRCUITO 166
0201900166A|CIRCUITO 166A
04013000167|CIRCUITO 167
02019000167|CIRCUITO 167
23012000167|CIRCUITO 167
01015000167|CIRCUITO 167
0201900167A|CIRCUITO 167A
23012000168|CIRCUITO 168
04013000168|CIRCUITO 168
23012000169|CIRCUITO 169
04013000169|CIRCUITO 169
02020000169|CIRCUITO 169
0400200016A|CIRCUITO 16A
2300100016A|CIRCUITO 16A
0400200016B|CIRCUITO 16B
0400200016C|CIRCUITO 16C
02003000017|CIRCUITO 17
05003000017|CIRCUITO 17
04002000017|CIRCUITO 17
06001000017|CIRCUITO 17
07001000017|CIRCUITO 17
03002000017|CIRCUITO 17
01001000017|CIRCUITO 17
09001000017|CIRCUITO 17
23001000017|CIRCUITO 17
04013000170|CIRCUITO 170
02020000170|CIRCUITO 170
23012000170|CIRCUITO 170
2301200170A|CIRCUITO 170A
04013000171|CIRCUITO 171
23012000171|CIRCUITO 171
02020000171|CIRCUITO 171
02020000172|CIRCUITO 172
04013000172|CIRCUITO 172
23013000172|CIRCUITO 172
04013000173|CIRCUITO 173
23013000173|CIRCUITO 173
02020000173|CIRCUITO 173
23013000174|CIRCUITO 174
04013000174|CIRCUITO 174
23013000175|CIRCUITO 175
02021000175|CIRCUITO 175
04013000175|CIRCUITO 175
04013000176|CIRCUITO 176
23013000176|CIRCUITO 176
02021000176|CIRCUITO 176
23013000177|CIRCUITO 177
04013000177|CIRCUITO 177
02021000177|CIRCUITO 177
04013000178|CIRCUITO 178
23013000178|CIRCUITO 178
0401300178A|CIRCUITO 178A
0401300178B|CIRCUITO 178B
23013000179|CIRCUITO 179
02032000179|CIRCUITO 179
04013000179|CIRCUITO 179
2300100017A|CIRCUITO 17A
09001000018|CIRCUITO 18
03002000018|CIRCUITO 18
07001000018|CIRCUITO 18
05003000018|CIRCUITO 18
